APK,WID,Widget,Layout,Parent,Method,Permission
biz.nlnrnqn.noknlnkno.apk,~undefined,~undefined,~undefined,"<biz.nlnrnqn.noknlnkno.a57: boolean y()>","<android.telephony.TelephonyManager: java.lang.String getLine1Number()>","<android.permission.ACCESS_NETWORK_STATE>"
biz.nlnrnqn.noknlnkno.apk,~undefined,~undefined,~undefined,"<biz.nlnrnqn.noknlnkno.a57: boolean y()>","<android.telephony.TelephonyManager: java.lang.String getSimSerialNumber()>","<android.permission.ACCESS_NETWORK_STATE>"
biz.nlnrnqn.noknlnkno.apk,~undefined,~undefined,~undefined,"<biz.nlnrnqn.noknlnkno.a57: boolean y()>","<android.telephony.TelephonyManager: java.lang.String getSubscriberId()>","<android.permission.ACCESS_NETWORK_STATE>"
biz.nlnrnqn.noknlnkno.apk,~undefined,~undefined,~undefined,"<biz.nlnrnqn.noknlnkno.a57: void a(biz.nlnrnqn.noknlnkno.a57)>","<android.app.ActivityManager: java.util.List getRunningTasks(int)>","<android.permission.GET_TASKS>"
biz.nlnrnqn.noknlnkno.apk,~undefined,~undefined,~undefined,"<biz.nlnrnqn.noknlnkno.a57: void a(biz.nlnrnqn.noknlnkno.a57)>","<android.net.ConnectivityManager: android.net.NetworkInfo getActiveNetworkInfo()>","<android.permission.ACCESS_NETWORK_STATE>"
biz.nlnrnqn.noknlnkno.apk,~undefined,~undefined,~undefined,"<biz.nlnrnqn.noknlnkno.a57: void a(biz.nlnrnqn.noknlnkno.a57)>","<android.telephony.TelephonyManager: int getSimState()>","<android.permission.ACCESS_NETWORK_STATE>"
biz.nlnrnqn.noknlnkno.apk,~undefined,~undefined,~undefined,"<biz.nlnrnqn.noknlnkno.a57: void a(biz.nlnrnqn.noknlnkno.a57)>","<android.telephony.TelephonyManager: java.lang.String getDeviceId()>","<android.permission.READ_PHONE_STATE>"
biz.nlnrnqn.noknlnkno.apk,~undefined,~undefined,~undefined,"<biz.nlnrnqn.noknlnkno.a57: void a(biz.nlnrnqn.noknlnkno.a57)>","<android.telephony.TelephonyManager: java.lang.String getLine1Number()>","<android.permission.ACCESS_NETWORK_STATE>"
biz.nlnrnqn.noknlnkno.apk,~undefined,~undefined,~undefined,"<biz.nlnrnqn.noknlnkno.a57: void a(biz.nlnrnqn.noknlnkno.a57)>","<android.telephony.TelephonyManager: java.lang.String getSimSerialNumber()>","<android.permission.ACCESS_NETWORK_STATE>"
biz.nlnrnqn.noknlnkno.apk,~undefined,~undefined,~undefined,"<biz.nlnrnqn.noknlnkno.a57: void a(biz.nlnrnqn.noknlnkno.a57)>","<android.telephony.TelephonyManager: java.lang.String getSubscriberId()>","<android.permission.ACCESS_NETWORK_STATE>"
biz.nlnrnqn.noknlnkno.apk,~undefined,~undefined,~undefined,"<biz.nlnrnqn.noknlnkno.a57: void b(biz.nlnrnqn.noknlnkno.a57)>","<android.app.ActivityManager: java.util.List getRunningTasks(int)>","<android.permission.GET_TASKS>"
biz.nlnrnqn.noknlnkno.apk,~undefined,~undefined,~undefined,"<biz.nlnrnqn.noknlnkno.a57: void b(biz.nlnrnqn.noknlnkno.a57)>","<android.net.ConnectivityManager: android.net.NetworkInfo getActiveNetworkInfo()>","<android.permission.ACCESS_NETWORK_STATE>"
biz.nlnrnqn.noknlnkno.apk,~undefined,~undefined,~undefined,"<biz.nlnrnqn.noknlnkno.a57: void b(biz.nlnrnqn.noknlnkno.a57)>","<android.telephony.TelephonyManager: int getSimState()>","<android.permission.ACCESS_NETWORK_STATE>"
biz.nlnrnqn.noknlnkno.apk,~undefined,~undefined,~undefined,"<biz.nlnrnqn.noknlnkno.a57: void b(biz.nlnrnqn.noknlnkno.a57)>","<android.telephony.TelephonyManager: java.lang.String getDeviceId()>","<android.permission.READ_PHONE_STATE>"
biz.nlnrnqn.noknlnkno.apk,~undefined,~undefined,~undefined,"<biz.nlnrnqn.noknlnkno.a57: void b(biz.nlnrnqn.noknlnkno.a57)>","<android.telephony.TelephonyManager: java.lang.String getLine1Number()>","<android.permission.ACCESS_NETWORK_STATE>"
biz.nlnrnqn.noknlnkno.apk,~undefined,~undefined,~undefined,"<biz.nlnrnqn.noknlnkno.a57: void b(biz.nlnrnqn.noknlnkno.a57)>","<android.telephony.TelephonyManager: java.lang.String getSimSerialNumber()>","<android.permission.ACCESS_NETWORK_STATE>"
biz.nlnrnqn.noknlnkno.apk,~undefined,~undefined,~undefined,"<biz.nlnrnqn.noknlnkno.a57: void b(biz.nlnrnqn.noknlnkno.a57)>","<android.telephony.TelephonyManager: java.lang.String getSubscriberId()>","<android.permission.ACCESS_NETWORK_STATE>"
biz.nlnrnqn.noknlnkno.apk,~undefined,~undefined,~undefined,"<biz.nlnrnqn.noknlnkno.a57: void g()>","<android.app.ActivityManager: java.util.List getRunningTasks(int)>","<android.permission.GET_TASKS>"
biz.nlnrnqn.noknlnkno.apk,~undefined,~undefined,~undefined,"<biz.nlnrnqn.noknlnkno.a57: void g()>","<android.net.ConnectivityManager: android.net.NetworkInfo getActiveNetworkInfo()>","<android.permission.ACCESS_NETWORK_STATE>"
biz.nlnrnqn.noknlnkno.apk,~undefined,~undefined,~undefined,"<biz.nlnrnqn.noknlnkno.a57: void g()>","<android.telephony.TelephonyManager: int getSimState()>","<android.permission.ACCESS_NETWORK_STATE>"
biz.nlnrnqn.noknlnkno.apk,~undefined,~undefined,~undefined,"<biz.nlnrnqn.noknlnkno.a57: void g()>","<android.telephony.TelephonyManager: java.lang.String getDeviceId()>","<android.permission.READ_PHONE_STATE>"
biz.nlnrnqn.noknlnkno.apk,~undefined,~undefined,~undefined,"<biz.nlnrnqn.noknlnkno.a57: void g()>","<android.telephony.TelephonyManager: java.lang.String getLine1Number()>","<android.permission.ACCESS_NETWORK_STATE>"
biz.nlnrnqn.noknlnkno.apk,~undefined,~undefined,~undefined,"<biz.nlnrnqn.noknlnkno.a57: void g()>","<android.telephony.TelephonyManager: java.lang.String getSimSerialNumber()>","<android.permission.ACCESS_NETWORK_STATE>"
biz.nlnrnqn.noknlnkno.apk,~undefined,~undefined,~undefined,"<biz.nlnrnqn.noknlnkno.a57: void g()>","<android.telephony.TelephonyManager: java.lang.String getSubscriberId()>","<android.permission.ACCESS_NETWORK_STATE>"
biz.nlnrnqn.noknlnkno.apk,~undefined,~undefined,~undefined,"<biz.nlnrnqn.noknlnkno.a57: void x()>","<android.app.ActivityManager: java.util.List getRunningTasks(int)>","<android.permission.GET_TASKS>"
biz.nlnrnqn.noknlnkno.apk,~undefined,~undefined,~undefined,"<biz.nlnrnqn.noknlnkno.a57: void x()>","<android.net.ConnectivityManager: android.net.NetworkInfo getActiveNetworkInfo()>","<android.permission.ACCESS_NETWORK_STATE>"
biz.nlnrnqn.noknlnkno.apk,~undefined,~undefined,~undefined,"<biz.nlnrnqn.noknlnkno.a57: void x()>","<android.telephony.TelephonyManager: int getSimState()>","<android.permission.ACCESS_NETWORK_STATE>"
biz.nlnrnqn.noknlnkno.apk,~undefined,~undefined,~undefined,"<biz.nlnrnqn.noknlnkno.a57: void x()>","<android.telephony.TelephonyManager: java.lang.String getDeviceId()>","<android.permission.READ_PHONE_STATE>"
biz.nlnrnqn.noknlnkno.apk,~undefined,~undefined,~undefined,"<biz.nlnrnqn.noknlnkno.a57: void x()>","<android.telephony.TelephonyManager: java.lang.String getLine1Number()>","<android.permission.ACCESS_NETWORK_STATE>"
biz.nlnrnqn.noknlnkno.apk,~undefined,~undefined,~undefined,"<biz.nlnrnqn.noknlnkno.a57: void x()>","<android.telephony.TelephonyManager: java.lang.String getSimSerialNumber()>","<android.permission.ACCESS_NETWORK_STATE>"
biz.nlnrnqn.noknlnkno.apk,~undefined,~undefined,~undefined,"<biz.nlnrnqn.noknlnkno.a57: void x()>","<android.telephony.TelephonyManager: java.lang.String getSubscriberId()>","<android.permission.ACCESS_NETWORK_STATE>"
